name,event_date,source,description,policy_category,policy_direction,target_region,affected_asset,announced_date,effective_date
8.31 부동산 종합대책,2005-08-31,정부합동,보유세와 양도세 중심의 강한 투기억제 대책,세제,강화,전국,주택,2005-08-31,2005-08-31
3.30 부동산 종합대책,2006-03-30,정부합동,재건축과 분양가 규제 강화 중심의 대책,규제,강화,전국,주택,2006-03-30,2006-03-30
11.15 부동산 대책,2006-11-15,정부합동,부동산 시장 과열 억제를 위한 추가 규제 보완,규제,강화,전국,주택,2006-11-15,2006-11-15
1.11 대책,2007-01-11,정부합동,수요 억제와 시장 안정 보완 대책,규제,강화,전국,주택,2007-01-11,2007-01-11
8.21 대책,2008-08-21,정부합동,경기부양과 거래 정상화를 위한 완화 성격 대책,완화,완화,전국,주택,2008-08-21,2008-08-21
9.1 대책,2008-09-01,정부합동,거래 활성화와 세제 조정 중심의 대책,완화,완화,전국,주택,2008-09-01,2008-09-01
3.19 대책,2009-03-19,정부합동,미분양 해소와 경기부양 중심의 대책,공급,확대,전국,주택,2009-03-19,2009-03-19
8.27 대책,2009-08-27,정부합동,보금자리주택 등 공급 확대 대책,공급,확대,전국,주택,2009-08-27,2009-08-27
4.23 대책,2010-04-23,정부합동,미분양 해소와 거래 활성화 대응책,완화,완화,전국,주택,2010-04-23,2010-04-23
8.29 대책,2010-08-29,정부합동,거래 정상화와 공급 관련 보완 대책,공급,확대,전국,주택,2010-08-29,2010-08-29
3.22 전월세 대책,2011-03-22,정부합동,임대차 시장 부담 완화 대책,임대차,완화,전국,전세,2011-03-22,2011-03-22
1.10 대책,2012-01-10,정부합동,거래 활성화와 규제 조정 대책,완화,완화,전국,주택,2012-01-10,2012-01-10
4.1 부동산대책,2013-04-01,정부합동,경기부양과 세제 완화 성격의 대책,세제,완화,전국,주택,2013-04-01,2013-04-01
8.28 전월세 대책,2013-08-28,정부합동,임차시장 안정과 전월세 부담 완화 대책,임대차,완화,전국,전세,2013-08-28,2013-08-28
1.24 서민·중산층 주거안정 대책,2014-01-24,정부합동,서민·중산층 주거안정과 수요·공급 보완 대책,공급,확대,전국,주택,2014-01-24,2014-01-24
9.1 부동산대책,2014-09-01,정부합동,부동산 시장 활성화 종합 대책,완화,완화,전국,주택,2014-09-01,2014-09-01
9.1 부동산대책,2015-09-01,정부합동,시장 활성화와 청약 완화 중심 대책,완화,완화,전국,주택,2015-09-01,2015-09-01
11.3 부동산대책,2016-11-03,정부합동,실수요 중심의 조정 대책,규제,강화,전국,주택,2016-11-03,2016-11-03
6.19 주택시장 안정화 방안,2017-06-19,관계부처합동,투기수요 억제를 위한 초기 규제 대책,규제,강화,전국,주택,2017-06-19,2017-06-19
8.2 주택시장 안정화 대책,2017-08-02,관계부처합동,투기수요 강력 억제와 규제지역 확대 대책,규제,강화,전국,주택,2017-08-02,2017-08-02
10.24 가계부채 종합대책,2017-10-24,관계부처합동,신DTI와 DSR 강화 흐름의 가계부채 관리 대책,대출,강화,전국,주택담보대출,2017-10-24,2017-10-24
2.21 가계부채 관리방안,2018-02-21,관계부처합동,대출 총량 관리를 위한 가계부채 대응 대책,대출,강화,전국,주택담보대출,2018-02-21,2018-02-21
9.13 주택시장 안정대책,2018-09-13,관계부처합동,세제와 금융을 아우르는 강한 규제 대책,세제,강화,전국,주택,2018-09-13,2018-09-13
12.16 주택시장 안정화 방안,2019-12-16,관계부처합동,고가주택과 다주택 규제 강화 대책,규제,강화,전국,주택,2019-12-16,2019-12-16
6.17 주택시장 안정대책,2020-06-17,관계부처합동,규제지역 확대와 대출 규제 강화 대책,규제,강화,수도권,주택,2020-06-17,2020-06-17
7.10 주택시장 안정 보완대책,2020-07-10,관계부처합동,다주택 세제 강화와 추가 규제 보완 대책,세제,강화,전국,주택,2020-07-10,2020-07-10
8.4 공급대책,2020-08-04,관계부처합동,수도권 주택 공급 확대 대책,공급,확대,수도권,주택,2020-08-04,2020-08-04
2.4 공공주도 3080+ 대도시권 주택공급 확대방안,2021-02-04,관계부처합동,공공주도 대규모 주택공급 확대 대책,공급,확대,수도권,주택,2021-02-04,2021-02-04
10.26 가계부채 관리 강화방안,2021-10-26,관계부처합동,가계대출 총량 관리와 대출 규제 강화 대책,대출,강화,전국,주택담보대출,2021-10-26,2021-10-26
6.21 주택시장 안정 방안,2022-06-21,관계부처합동,규제 완화와 거래 정상화를 위한 대책,완화,완화,전국,주택,2022-06-21,2022-06-21
11.10 부동산 규제지역 해제,2022-11-10,국토교통부,규제지역 대폭 해제 조치,규제,완화,전국,주택,2022-11-10,2022-11-10
1.3 부동산 세제 정상화 방안,2023-01-03,관계부처합동,보유세와 거래세 부담 완화 대책,세제,완화,전국,주택,2023-01-03,2023-01-03
1.3 주택시장 정상화 방안,2023-01-03,관계부처합동,거래 활성화와 규제 정상화 대책,완화,완화,전국,주택,2023-01-03,2023-01-03
노후계획도시 특별법 관련 후속 대책,2024-01-01,국토교통부,정비사업과 재건축 촉진을 위한 후속 조치,공급,확대,전국,주택,2024-01-01,2024-01-01
6.27 가계부채 관리 강화방안,2025-06-27,관계부처합동,수도권 대출 한도와 DSR을 강화한 가계부채 대책,대출,강화,수도권,주택담보대출,2025-06-27,2025-06-27
9.7 주택공급 확대방안,2025-09-07,관계부처합동,수도권 중심의 공급 확대 대책,공급,확대,수도권,주택,2025-09-07,2025-09-07
10.15 주택시장 안정화 대책,2025-10-15,관계부처합동,서울·수도권 규제지역과 대출 규제를 강화한 대책,규제,강화,서울·경기 일부,주택,2025-10-15,2025-10-15
